N,matrix_type,beta,gamma,mse,snr_db,cosine_similarity
5,random_iid,0.0,0.5,8.835892003844492e-06,16.547770555522224,0.9901483058929443
5,random_iid,0.15,0.0,5.973731276753824e-06,18.247817723082594,0.9928938150405884
5,random_iid,0.15,0.1,5.8972527767764404e-06,18.30377711096409,0.9928857088088989
5,random_iid,0.15,0.2,5.860271812707651e-06,18.331096945969854,0.9928411245346069
5,random_iid,0.15,0.3,5.864519607712282e-06,18.32795011982117,0.9927597045898438
5,random_iid,0.15,0.5,6.003093403705861e-06,18.226523539357512,0.992479681968689
5,random_iid,0.3,0.0,5.41257441000198e-06,18.676235747291994,0.9931986927986145
5,random_iid,0.3,0.1,5.7342322179465555e-06,18.42552178150891,0.9928137063980103
5,random_iid,0.3,0.2,6.289204065978993e-06,18.024317681237424,0.9922363758087158
5,random_iid,0.3,0.3,7.088880920491647e-06,17.50449773541242,0.991473913192749
5,random_iid,0.3,0.5,9.491798664384987e-06,16.236789370554185,0.989364743232727
5,random_iid,0.5,0.0,1.2023689123452641e-05,15.209897157526731,0.985508143901825
5,random_iid,0.5,0.1,1.4733333955518901e-05,14.327264216764316,0.9832658767700195
5,random_iid,0.5,0.2,1.8408423784421757e-05,13.360108508804094,0.9805082082748413
5,random_iid,0.5,0.3,2.329374910914339e-05,12.337880611574635,0.9770346879959106
5,random_iid,0.5,0.5,3.7028985389042646e-05,10.324856422989017,0.9682782888412476
5,random_iid,0.7,0.0,3.752323755179532e-05,10.267271518521135,0.9582529067993164
5,random_iid,0.7,0.1,4.830670513911173e-05,9.170200381220692,0.9511301517486572
5,random_iid,0.7,0.2,6.29021815257147e-05,8.023617470679916,0.9426010251045227
5,random_iid,0.7,0.3,8.154948591254652e-05,6.89606227050822,0.9331475496292114
5,random_iid,0.7,0.5,0.00013294669042807072,4.773499241609639,0.9111853837966919
5,low_rank_4,0.0,0.0,8.872490070643835e-06,16.716468311032248,0.9905392527580261
5,low_rank_4,0.0,0.1,8.872490070643835e-06,16.716468311032248,0.9905392527580261
5,low_rank_4,0.0,0.2,8.872490070643835e-06,16.716468311032248,0.9905392527580261
5,low_rank_4,0.0,0.3,8.872490070643835e-06,16.716468311032248,0.9905392527580261
5,low_rank_4,0.0,0.5,8.872490070643835e-06,16.716468311032248,0.9905392527580261
5,low_rank_4,0.15,0.0,5.9519329624890815e-06,18.45034322055025,0.9932116270065308
5,low_rank_4,0.15,0.1,5.876364411960822e-06,18.505836331676544,0.9932036399841309
5,low_rank_4,0.15,0.2,5.843309736519586e-06,18.530334455137936,0.9931538701057434
5,low_rank_4,0.15,0.3,5.852315553056542e-06,18.523646181354867,0.9930702447891235
5,low_rank_4,0.15,0.5,6.007862793921959e-06,18.409723472968327,0.9927850365638733
5,low_rank_4,0.3,0.0,5.474147656059358e-06,18.813758454908257,0.9934099912643433
5,low_rank_4,0.3,0.1,5.817491910420358e-06,18.54956565050658,0.9930247068405151
5,low_rank_4,0.3,0.2,6.403427050827304e-06,18.132798867819556,0.9924553632736206
5,low_rank_4,0.3,0.3,7.2416778493789025e-06,17.598531520508132,0.9917017221450806
5,low_rank_4,0.3,0.5,9.787832823349163e-06,16.29005810124045,0.9895821809768677
5,low_rank_4,0.5,0.0,1.2369358955766074e-05,15.273451602733612,0.9857631921768188
5,low_rank_4,0.5,0.1,1.5145743418543134e-05,14.394017578545634,0.9835638999938965
5,low_rank_4,0.5,0.2,1.892230284283869e-05,13.427183642086128,0.9808518886566162
5,low_rank_4,0.5,0.3,2.3798682377673686e-05,12.431394402396183,0.9774801731109619
5,low_rank_4,0.5,0.5,3.7828373024240136e-05,10.418746901489113,0.9688400030136108
5,low_rank_4,0.7,0.0,3.864246536977589e-05,10.326275267007185,0.9588509798049927
5,low_rank_4,0.7,0.1,4.978098877472803e-05,9.226288345657244,0.9517719149589539
5,low_rank_4,0.7,0.2,6.495290290331468e-05,8.070937875765214,0.9432971477508545
5,low_rank_4,0.7,0.3,8.410633745370433e-05,6.948636317640009,0.9338727593421936
5,low_rank_4,0.7,0.5,0.00013585330452769995,4.866221463332944,0.9120900630950928
5,layernorm_scale,0.0,0.0,5.556049700317089e-07,16.54224884045087,0.9901256561279297
5,layernorm_scale,0.0,0.1,5.556049700317089e-07,16.54224884045087,0.9901256561279297
5,layernorm_scale,0.0,0.2,5.556049700317089e-07,16.54224884045087,0.9901256561279297
5,layernorm_scale,0.0,0.3,5.556049700317089e-07,16.54224884045087,0.9901256561279297
5,layernorm_scale,0.0,0.5,5.556049700317089e-07,16.54224884045087,0.9901256561279297
5,layernorm_scale,0.15,0.0,3.7591939872072544e-07,18.238962686398978,0.9928690195083618
5,layernorm_scale,0.15,0.1,3.710183023031277e-07,18.29595672150243,0.9928673505783081
5,layernorm_scale,0.15,0.2,3.685794069951953e-07,18.32459939035275,0.9928253889083862
5,layernorm_scale,0.15,0.3,3.6880237530567683e-07,18.321972965014965,0.9927440881729126
5,layernorm_scale,0.15,0.5,3.771363594751165e-07,18.22492601528508,0.992474377155304
5,layernorm_scale,0.3,0.0,3.385880518180784e-07,18.693193774573512,0.9932268857955933
5,layernorm_scale,0.3,0.1,3.5798223052552203e-07,18.4512953627872,0.9928538203239441
5,layernorm_scale,0.3,0.2,3.912838621999981e-07,18.064990694314297,0.9923018217086792
5,layernorm_scale,0.3,0.3,4.393456265461282e-07,17.561846984193142,0.9915660619735718
5,layernorm_scale,0.3,0.5,5.882004643353866e-07,16.294656429951303,0.9894656538963318
5,layernorm_scale,0.5,0.0,7.50666288240609e-07,15.235440934826496,0.9855775833129883
5,layernorm_scale,0.5,0.1,9.160814897768432e-07,14.370568980733612,0.9833712577819824
5,layernorm_scale,0.5,0.2,1.1481282626846223e-06,13.390005982010926,0.9805757999420166
5,layernorm_scale,0.5,0.3,1.4529321106238058e-06,12.367456839790542,0.9771233797073364
5,layernorm_scale,0.5,0.5,2.299756943102693e-06,10.373090673130037,0.968576192855835
5,layernorm_scale,0.7,0.0,2.3452391815226292e-06,10.2880386474636,0.9583210945129395
5,layernorm_scale,0.7,0.1,3.032955191883957e-06,9.171250118049434,0.951012372970581
5,layernorm_scale,0.7,0.2,3.938354893762153e-06,8.036761572158259,0.9426250457763672
5,layernorm_scale,0.7,0.3,5.086830242362339e-06,6.925437614027614,0.9331587553024292
5,layernorm_scale,0.7,0.5,8.30456610856345e-06,4.796740593542735,0.9113633036613464
5,per_tile_varying,0.0,0.0,0.0004494273744057864,16.77790973053827,0.9906252026557922
5,per_tile_varying,0.0,0.1,0.0004494273744057864,16.77790973053827,0.9906252026557922
